White: e2e4 - e2e4
Black: b7b5 - b7b5
White: e4e5 - e4e5
Black: g8h6 - g8h6
White: e5e6 - e5e6
Black: f7e6 - f7e6
White: d2d4 - d2d4
Black: d7d5 - d7d5
White: g1f3 - g1f3
Black: b8c6 - b8c6
White: f3g5 - f3g5
Black: a7a6 - a7a6
White: g5f7 - g5f7
Black: e6e5 - e6e5
White: f7d8 - f7d8
Black: c6d8 - c6d8
White: d1h5 - d1h5
Black: d8f7 - d8f7
White: h5f7 - h5f7
Black: h6f7 - h6f7
White: d4e5 - d4e5
Black: c8e6 - c8e6
White: f1b5 - f1b5
Black: c7c6 - c7c6
White: b5c6 - b5c6
Black: e8d8 - e8d8
White: c6e8 - c6e8
Black: f7h6 - f7h6
White: e1g1 - e1g1
Black: e6h3 - e6h3
White: c1h6 - c1h6
Black: h3d7 - h3d7
White: e5e6 - e5e6
Black: g7g5 - g7g5
White: e6d7 - e6d7
Black: f8g7 - f8g7
White: e8g6 - e8g6
Black: a8c8 - a8c8
White: d7c8q - d7c8q
Black: d8c8 - d8c8
White: g6f7 - g6f7
Black: h8e8 - h8e8
White: f7e8 - f7e8
Black: g7h6 - g7h6
White: e8g6 - e8g6
Black: c8c7 - c8c7
White: g6e8 - g6e8
Black: c7d8 - c7d8
White: e8g6 - e8g6
Black: d8d7 - d8d7
White: g6e8 - g6e8
Black: d7d6 - d7d6
White: e8g6 - e8g6
Black: e7e5 - e7e5
White: g6h7 - g6h7
Black: d6c6 - d6c6
White: h7g8 - h7g8
Black: c6c5 - c6c5
White: g8h7 - g8h7
Black: c5d6 - c5d6
White: h7g8 - h7g8
Black: d6c5 - d6c5
White: g8h7 - g8h7
Black: c5b4 - c5b4
White: h7g8 - h7g8
Black: e5e4 - e5e4
White: g8h7 - g8h7
Black: b4c4 - b4c4
White: h7g8 - h7g8
Black: c4b4 - c4b4
White: g8h7 - g8h7
Black: h6g7 - h6g7
White: h7g8 - h7g8
Black: g5g4 - g5g4
White: g8h7 - g8h7
Black: g7e5 - g7e5
White: h7g8 - h7g8
Black: g4g3 - g4g3
White: g8h7 - g8h7
Black: a6a5 - a6a5
White: h7g8 - h7g8
Black: a5a4 - a5a4
White: g8h7 - g8h7
Black: e5b2 - e5b2
White: h7g8 - h7g8
Black: b2f6 - b2f6
White: g8h7 - g8h7
Black: f6e7 - f6e7
White: h7g8 - h7g8
Black: e7h4 - e7h4
White: g8h7 - g8h7
Black: d5d4 - d5d4
White: h7g8 - h7g8
Black: d4d3 - d4d3
